[686] div: c2  = : decimal=-5.551581880363462e-17, bits=0xbc9000582afebb43
[686] div: t2  = : decimal=2.416134656520158e-17, bits=0x3c7bdb2bbb30740c
[686] div: t1  = : decimal=0.9947851951292883, bits=0x3fefd547c2f4023a
[686] div: t12 = : decimal=0.9947851951292883, bits=0x3fefd547c2f4023a
[686] div: t22 = : decimal=2.416134656520158e-17, bits=0x3c7bdb2bbb30740c
[686] div: t11 = : decimal=1.110223024625157e-16, bits=0x3ca0000000000000
[686] div: e   = : decimal=-0.9947851951292883, bits=0xbfefd547c2f4023a
[686] div: t12 = : decimal=0.9947851951292883, bits=0x3fefd547c2f4023a
[686] div: hi  = : decimal=0.9947851951292884, bits=0x3fefd547c2f4023b
[686] div: lo  = : decimal=-5.492444009064898e-17, bits=0xbc8fa96aae07174d
[686] div: t21 = : decimal=-7.908578665585056e-17, bits=0xbc96cb8045cfa8aa
[686] t1.lo: decimal=-5.492444009064898e-17, bits=0xbc8fa96aae07174d
[686] t2.lo: decimal=-5.609786237186668e-17, bits=0xbc902b4aa8fc745a
[686] t3.lo: decimal=3.177083709065814e-17, bits=0x3c82508c4a28470b
[686] ddlog: a.hi: decimal=0.9896244964848436, bits=0x3fefab00fdf721c1
[686] ddlog: a.lo: decimal=3.177083709065814e-17, bits=0x3c82508c4a28470b
[686] ddlog: t1: decimal=0.9896244964848436, bits=0x3fefab00fdf721c1
[686] ddlog: t2: decimal=-0.01042970428456167, bits=0xbf855c2b36792031
[686] a.hi: decimal=-0.01042970428456167, bits=0xbf855c2b36792031
[686] a.lo: decimal=0, bits=0x0000000000000000
[686] eps: decimal=1e-32, bits=0x3949f623d5a8a733
[686] al2.hi: decimal=0.6931471805599453, bits=0x3fe62e42fefa39ef
[686] al2.lo: decimal=2.3190468138463e-17, bits=0x3c7abc9e3b39803f
[686] div: c2  = : decimal=-3.489442526612149e-19, bits=0xbc19bf5eddd90b86
[686] div: t2  = : decimal=-8.840680590779893e-19, bits=0xbc304ee4b3f24d1a
[686] div: t1  = : decimal=-0.01042970428456167, bits=0xbf855c2b36792031
[686] div: t12 = : decimal=-0.01042970428456167, bits=0xbf855c2b36792032
[686] div: t22 = : decimal=8.506554168988178e-19, bits=0x3c2f6236981b65cc
[686] div: t11 = : decimal=1.734723475976807e-18, bits=0x3c40000000000000
[686] div: e   = : decimal=0.01042970428456167, bits=0x3f855c2b36792032
[686] div: t12 = : decimal=-0.01042970428456167, bits=0xbf855c2b36792032
[686] div: hi  = : decimal=-0.01042970428456167, bits=0xbf855c2b36792031
[686] div: lo  = : decimal=0, bits=0x0000000000000000
[686] div: t21 = : decimal=-8.506554168988178e-19, bits=0xbc2f6236981b65cc
[686] ddexp: s0.hi: decimal=-0.01504688264927549, bits=0xbf8ed0e667154656
[686] ddexp: s0.lo: decimal=-4.592828713366607e-19, bits=0xbc20f1cdd7e48ece
[686] ddexp: s1.hi: decimal=0, bits=0x0000000000000000
[686] ddexp: s1.lo: decimal=0, bits=0x0000000000000000
[686] ddexp: nz: decimal=0, bits=0x0000000000000000
[686] div: c2  = : decimal=2.313105156583661e-35, bits=0x38bebf16c724cfbf
[686] div: t2  = : decimal=-6.699990861810691e-34, bits=0xb90bd4a6ffc1610a
